ip;city;region;country;loc;org;timezone;hostname;postal;error
148.103.11.5;Bajos de Haina;San Cristóbal;DO;18.4154,-70.0332;AS28118 ALTICE DOMINICANA S.A.;America/Santo_Domingo;adsl-11-5.tricom.net;11110;
213.4.15.195;Collado-Villalba;Madrid;ES;40.6351,-4.0049;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;195.red-213-4-15.staticip.rima-tde.net;28400;
195.55.46.35;Ávila;Castille and León;ES;40.6572,-4.6995;AS209195 CAJA DE SEGUROS REUNIDOS COMPANIA DE SEGUROS Y REASEGUROS SA;Europe/Madrid;;05001;
187.95.122.14;Curitiba;Paraná;BR;-25.4278,-49.2731;AS14868 Ligga Telecomunicações S.A.;America/Sao_Paulo;14.122.95.187.static.liggatelecom.com.br;80000-000;
190.80.188.161;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;161.188.80.190.m.sta.codetel.net.do;10201;
200.88.253.129;Santo Domingo Este;Santo Domingo Province;DO;18.4885,-69.8571;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;129.253.88.200.f.p.codetel.net.do;11605;
80.32.118.95;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;95.red-80-32-118.staticip.rima-tde.net;28004;
88.12.24.162;Madrid;Madrid;ES;40.4187,-3.7076;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;162.red-88-12-24.staticip.rima-tde.net;28013;
201.47.191.67;Brasília;Federal District;BR;-15.7797,-47.9297;AS18881 TELEFÔNICA BRASIL S.A;America/Sao_Paulo;senacdf.static.gvt.net.br;70000-000;
2.136.93.243;Madrid;Madrid;ES;40.4165,-3.7026;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;243.red-2-136-93.staticip.rima-tde.net;28004;
186.209.19.149;Rio do Sul;Santa Catarina;BR;-27.2142,-49.6431;AS28343 UNIFIQUE TELECOMUNICACOES S/A;America/Sao_Paulo;186-209-19-149.unifique.net;89160-000;
79.145.87.147;Sevilla;Andalusia;ES;37.3828,-5.9732;AS3352 TELEFONICA DE ESPANA S.A.U.;Europe/Madrid;147.red-79-145-87.dynamicip.rima-tde.net;41005;
200.88.116.25;Santo Domingo;Nacional;DO;18.4719,-69.8923;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;25.116.88.200.m.sta.codetel.net.do;10201;
181.36.41.157;Santo Domingo Este;Santo Domingo Province;DO;18.4885,-69.8571;AS28118 ALTICE DOMINICANA S.A.;America/Santo_Domingo;;11605;
200.0.57.238;Irecê;Bahia;BR;-11.3042,-41.8558;AS52739 PROVEDOR INTERSOUSA LTDA;America/Bahia;;44900-000;
200.88.117.65;Las Terrenas;Samaná;DO;19.3110,-69.5428;AS6400 Compañía Dominicana de Teléfonos S. A.;America/Santo_Domingo;65.117.88.200.m.sta.codetel.net.do;10213;
